Key,Value
items.25.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/rtlxd0zOixA9QHdIZB26-St5qgQ"""
items.25.id,39
items.25.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.25.snippet.title,Horror
items.25.snippet.assignable,False
items.26.kind,youtube#videoCategory
items.26.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/N1TrDFLRppxZgBowCJfJCvh0Dpg"""
items.26.id,40
items.26.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.26.snippet.title,Sci-Fi/Fantasy
items.26.snippet.assignable,False
items.27.kind,youtube#videoCategory
items.27.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/7UMGi6zRySqXopr_rv4sZq6Za2E"""
items.27.id,41
items.27.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.27.snippet.title,Thriller
items.27.snippet.assignable,False
items.28.kind,youtube#videoCategory
items.28.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/RScXhi324h8usyIetreAVb-uKeM"""
items.28.id,42
items.28.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.28.snippet.title,Shorts
items.28.snippet.assignable,False
items.29.kind,youtube#videoCategory
items.29.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0n9MJVCDLpA8q7aiGVrFsuFsd0A"""
items.29.id,43
items.29.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.29.snippet.title,Shows
items.29.snippet.assignable,False
items.30.kind,youtube#videoCategory
items.30.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/x5NxSf5fz8hn4loSN4rvhwzD_pY"""
items.30.id,44
items.30.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.30.snippet.title,Trailers
items.30.snippet.assignable,False
